movement_id,company,strategy_type,sector_target,region,country,subregion,date,investment_usd_m,target_company,strategic_priority,details
str-20000,dragados,cost optimization,energy,australia,australia,western australia,2021-02-06,7983.45,unknown,efficiency,"dragados announced a cost optimization in western australia, australia, targeting industrial to drive sustainability."
str-20001,mccarthy,workforce development,residential,latin america,peru,peru,2021-06-19,7983.45,unknown,sustainability,"mccarthy announced a workforce development in peru, peru, targeting energy to enhance capabilities."
str-20002,balfour beatty,sustainability initiative,healthcare,north america,canada,quebec,2024-11-24,7983.45,unknown,growth,"balfour beatty announced a sustainability initiative in quebec, canada, targeting transportation to capture market share."
str-20003,acciona,cost optimization,energy,middle east,saudi arabia,saudi arabia,2023-08-10,7983.45,unknown,growth,"acciona announced a cost optimization in saudi arabia, saudi arabia, targeting utilities to improve resilience."
str-20004,samsung c&t,acquisition,education,middle east,kuwait,kuwait,2021-04-11,3534.2,snc-lavalin,sustainability,"samsung c&t announced a acquisition in kuwait, kuwait, targeting residential to improve resilience."
str-20005,bam group,cost optimization,energy,europe,uk,wales,2021-09-28,7983.45,unknown,growth,"bam group announced a cost optimization in wales, uk, targeting residential to leverage digital tools."
str-20006,ferrovial,market expansion,utilities,north america,usa,illinois,2023-01-21,11612.4,unknown,growth,"ferrovial announced a market expansion in illinois, usa, targeting infrastructure to drive sustainability."
str-20007,larsen & toubro,sustainability initiative,utilities,latin america,peru,peru,2022-09-13,7983.45,unknown,efficiency,"larsen & toubro announced a sustainability initiative in peru, peru, targeting infrastructure to leverage digital tools."
str-20008,gilbane,acquisition,energy,australia,australia,victoria,2022-01-27,7720.15,samsung c&t,market leadership,"gilbane announced a acquisition in victoria, australia, targeting commercial to leverage digital tools."
str-20009,obayashi corporation,technology adoption,education,middle east,oman,oman,2021-05-07,9435.32,unknown,efficiency,"obayashi corporation announced a technology adoption in oman, oman, targeting commercial to expand globally."
str-20010,skanska,partnership,transportation,africa,egypt,egypt,2023-01-05,7983.45,unknown,market leadership,"skanska announced a partnership in egypt, egypt, targeting utilities to expand globally."
str-20011,mortenson construction,acquisition,energy,middle east,saudi arabia,saudi arabia,2023-02-23,13570.88,john holland,growth,"mortenson construction announced a acquisition in saudi arabia, saudi arabia, targeting energy to improve resilience."
str-20012,pcl construction,digital transformation,healthcare,asia-pacific,china,guangdong,2024-06-12,7983.45,unknown,innovation,"pcl construction announced a digital transformation in guangdong, china, targeting residential to capture market share."
str-20013,pcl construction,merger,utilities,australia,australia,western australia,2022-07-17,11673.5,john holland,innovation,"pcl construction announced a merger in western australia, australia, targeting commercial to expand globally."
str-20014,mccarthy,technology adoption,infrastructure,middle east,oman,oman,2025-04-23,9863.36,unknown,growth,"mccarthy announced a technology adoption in oman, oman, targeting healthcare to improve resilience."
str-20015,fluor,risk management,residential,europe,sweden,sweden,2022-04-10,7983.45,unknown,growth,"fluor announced a risk management in sweden, sweden, targeting transportation to capture market share."
str-20016,turner construction,market expansion,education,europe,sweden,sweden,2022-08-30,9195.63,unknown,growth,"turner construction announced a market expansion in sweden, sweden, targeting healthcare to capture market share."
str-20017,china state construction,merger,infrastructure,north america,canada,alberta,2022-06-05,961.11,cpb contractors,efficiency,"china state construction announced a merger in alberta, canada, targeting commercial to leverage digital tools."
str-20018,leighton asia,cost optimization,infrastructure,africa,egypt,egypt,2022-04-05,7983.45,unknown,innovation,"leighton asia announced a cost optimization in egypt, egypt, targeting utilities to improve resilience."
str-20019,snc-lavalin,acquisition,residential,australia,australia,victoria,2022-05-05,4358.53,bechtel,innovation,"snc-lavalin announced a acquisition in victoria, australia, targeting residential to enhance capabilities."
str-20020,gilbane,risk management,utilities,australia,australia,western australia,2022-10-03,7983.45,unknown,innovation,"gilbane announced a risk management in western australia, australia, targeting healthcare to drive sustainability."
str-20021,mace group,acquisition,education,asia-pacific,china,jiangsu,2023-10-11,2811.25,whiting-turner,efficiency,"mace group announced a acquisition in jiangsu, china, targeting utilities to leverage digital tools."
str-20022,fluor,workforce development,utilities,north america,usa,washington,2022-02-24,7983.45,unknown,growth,"fluor announced a workforce development in washington, usa, targeting commercial to improve resilience."
str-20023,leighton asia,merger,commercial,australia,australia,queensland,2023-07-27,5428.05,mortenson construction,innovation,"leighton asia announced a merger in queensland, australia, targeting industrial to drive sustainability."
str-20024,snc-lavalin,workforce development,healthcare,europe,sweden,sweden,2024-06-08,7983.45,unknown,growth,"snc-lavalin announced a workforce development in sweden, sweden, targeting education to enhance capabilities."
str-20025,balfour beatty,technology adoption,infrastructure,europe,sweden,sweden,2023-05-22,14645.08,unknown,efficiency,"balfour beatty announced a technology adoption in sweden, sweden, targeting transportation to leverage digital tools."
str-20026,hochtief,cost optimization,healthcare,australia,australia,victoria,2023-10-24,7983.45,unknown,innovation,"hochtief announced a cost optimization in victoria, australia, targeting education to enhance capabilities."
str-20027,mortenson construction,sustainability initiative,education,australia,australia,victoria,2025-01-17,7983.45,unknown,innovation,"mortenson construction announced a sustainability initiative in victoria, australia, targeting healthcare to drive sustainability."
str-20028,mccarthy,partnership,infrastructure,north america,usa,new york,2023-11-07,7983.45,unknown,sustainability,"mccarthy announced a partnership in new york, usa, targeting education to expand globally."
str-20029,vinci,partnership,transportation,europe,poland,poland,2023-02-04,7983.45,unknown,growth,"vinci announced a partnership in poland, poland, targeting education to enhance capabilities."
str-20030,bam group,market expansion,residential,north america,mexico,mexico,2021-06-30,8119.74,unknown,market leadership,"bam group announced a market expansion in mexico, mexico, targeting transportation to capture market share."
str-20031,cpb contractors,sustainability initiative,education,asia-pacific,malaysia,malaysia,2023-03-15,7983.45,unknown,market leadership,"cpb contractors announced a sustainability initiative in malaysia, malaysia, targeting energy to drive sustainability."
str-20032,turner construction,digital transformation,utilities,north america,usa,washington,2020-12-31,7983.45,unknown,sustainability,"turner construction announced a digital transformation in washington, usa, targeting commercial to drive sustainability."
str-20033,ferrovial,sustainability initiative,infrastructure,asia-pacific,india,karnataka,2022-09-16,7983.45,unknown,efficiency,"ferrovial announced a sustainability initiative in karnataka, india, targeting healthcare to leverage digital tools."
str-20034,china state construction,risk management,utilities,asia-pacific,malaysia,malaysia,2024-07-01,7983.45,unknown,growth,"china state construction announced a risk management in malaysia, malaysia, targeting transportation to capture market share."
str-20035,dragados,market expansion,utilities,asia-pacific,india,maharashtra,2025-05-11,13685.4,unknown,market leadership,"dragados announced a market expansion in maharashtra, india, targeting transportation to drive sustainability."
str-20036,skanska,digital transformation,education,australia,australia,new south wales,2022-12-27,7983.45,unknown,sustainability,"skanska announced a digital transformation in new south wales, australia, targeting utilities to expand globally."
str-20037,china state construction,partnership,transportation,australia,australia,new south wales,2024-03-14,7983.45,unknown,growth,"china state construction announced a partnership in new south wales, australia, targeting industrial to expand globally."
str-20038,strabag,risk management,commercial,asia-pacific,japan,japan,2021-12-07,7983.45,unknown,efficiency,"strabag announced a risk management in japan, japan, targeting healthcare to capture market share."
str-20039,turner construction,merger,transportation,asia-pacific,japan,japan,2024-07-09,1110.06,balfour beatty,innovation,"turner construction announced a merger in japan, japan, targeting commercial to enhance capabilities."
str-20040,bechtel,market expansion,commercial,latin america,argentina,argentina,2023-06-14,2488.94,unknown,efficiency,"bechtel announced a market expansion in argentina, argentina, targeting transportation to enhance capabilities."
str-20041,thiess,cost optimization,utilities,middle east,qatar,qatar,2020-06-19,7983.45,unknown,innovation,"thiess announced a cost optimization in qatar, qatar, targeting industrial to improve resilience."
str-20042,mortenson construction,partnership,education,australia,australia,western australia,2021-03-06,7983.45,unknown,innovation,"mortenson construction announced a partnership in western australia, australia, targeting utilities to drive sustainability."
str-20043,hochtief,workforce development,infrastructure,north america,canada,alberta,2022-04-09,7983.45,unknown,sustainability,"hochtief announced a workforce development in alberta, canada, targeting healthcare to enhance capabilities."
str-20044,cpb contractors,market expansion,commercial,africa,egypt,egypt,2021-03-01,14423.5,unknown,market leadership,"cpb contractors announced a market expansion in egypt, egypt, targeting transportation to improve resilience."
str-20045,samsung c&t,merger,commercial,middle east,uae,uae,2022-03-07,1099.91,gilbane,market leadership,"samsung c&t announced a merger in uae, uae, targeting energy to improve resilience."
str-20046,shimizu corporation,merger,energy,asia-pacific,japan,japan,2020-10-10,2189.66,cpb contractors,efficiency,"shimizu corporation announced a merger in japan, japan, targeting education to leverage digital tools."
str-20047,whiting-turner,sustainability initiative,infrastructure,africa,egypt,egypt,2021-02-28,7983.45,unknown,sustainability,"whiting-turner announced a sustainability initiative in egypt, egypt, targeting residential to leverage digital tools."
str-20048,lendlease,cost optimization,utilities,europe,netherlands,netherlands,2024-06-30,7983.45,unknown,innovation,"lendlease announced a cost optimization in netherlands, netherlands, targeting commercial to improve resilience."
str-20049,balfour beatty,workforce development,residential,europe,spain,spain,2022-07-06,7983.45,unknown,market leadership,"balfour beatty announced a workforce development in spain, spain, targeting healthcare to enhance capabilities."
