win_id,company,project_name,sector,region,country,subregion,value_usd_m,award_date,client,project_duration_months,esg_compliance,contract_type,completion_status,project_scale,description
win-20000,aecom,"highway in venezuela, venezuela",healthcare,latin america,venezuela,venezuela,59.96,2025-05-27,public-private partnership,10,green building,lump sum,on track,small,"aecom secured a healthcare small-scale contract to build a wind farm in venezuela, venezuela. project emphasizes safety."
win-20001,kajima corporation,"metro system in ontario, canada",industrial,north america,canada,ontario,5440.75,2025-02-07,public-private partnership,71,unknown,lump sum,on hold,mega,"kajima corporation secured a industrial mega-scale contract to build a university campus in ontario, canada. project emphasizes digitalization."
win-20002,lendlease,"dam in kuwait, kuwait",education,middle east,kuwait,kuwait,1627.45,2021-01-08,government,55,renewable energy,fixed-price,completed,large,"lendlease secured a education large-scale contract to build a highway in kuwait, kuwait. project emphasizes sustainability."
win-20003,snc-lavalin,"airport in france, france",transportation,europe,france,france,116.81,2021-01-04,government,49,carbon neutrality,lump sum,delayed,medium,"snc-lavalin secured a transportation medium-scale contract to build a school in france, france. project emphasizes safety."
win-20004,vinci,"metro system in são paulo, brazil",commercial,latin america,brazil,são paulo,263.24,2025-05-19,public-private partnership,48,renewable energy,cost-plus,cancelled,medium,"vinci secured a commercial medium-scale contract to build a oil pipeline in são paulo, brazil. project emphasizes community impact."
win-20005,skanska,"smart city in poland, poland",commercial,europe,poland,poland,85.07,2022-06-22,utility company,47,carbon neutrality,cost-plus,on hold,small,"skanska secured a commercial small-scale contract to build a residential complex in poland, poland. project emphasizes safety."
win-20006,balfour beatty,"oil pipeline in alberta, canada",residential,north america,canada,alberta,43.5,2023-01-08,municipality,74,waste reduction,unit price,completed,small,"balfour beatty secured a residential small-scale contract to build a metro system in alberta, canada. project emphasizes sustainability."
win-20007,kiewit,"railway in peru, peru",utilities,latin america,peru,peru,1676.49,2020-12-21,private developer,35,community engagement,fixed-price,on track,large,"kiewit secured a utilities large-scale contract to build a warehouse in peru, peru. project emphasizes digitalization."
win-20008,leighton asia,"bridge in italy, italy",infrastructure,europe,italy,italy,668.88,2023-10-15,international agency,57,green building,unit price,delayed,large,"leighton asia secured a infrastructure large-scale contract to build a power plant in italy, italy. project emphasizes safety."
win-20009,thiess,"bridge in quebec, canada",energy,north america,canada,quebec,41.79,2023-08-28,municipality,67,carbon neutrality,cost-plus,delayed,small,"thiess secured a energy small-scale contract to build a university campus in quebec, canada. project emphasizes innovation."
win-20010,larsen & toubro,"university campus in saudi arabia, saudi arabia",education,middle east,saudi arabia,saudi arabia,2153.93,2021-02-11,international agency,26,renewable energy,fixed-price,on hold,mega,"larsen & toubro secured a education mega-scale contract to build a power plant in saudi arabia, saudi arabia. project emphasizes community impact."
win-20011,cpb contractors,"wind farm in victoria, australia",healthcare,asia-pacific,australia,victoria,395.27,2024-02-20,corporate,40,waste reduction,time and materials,on hold,medium,"cpb contractors secured a healthcare medium-scale contract to build a residential complex in victoria, australia. project emphasizes sustainability."
win-20012,larsen & toubro,"data center in indonesia, indonesia",transportation,asia-pacific,indonesia,indonesia,84.56,2022-03-04,government,30,community engagement,unit price,on hold,small,"larsen & toubro secured a transportation small-scale contract to build a data center in indonesia, indonesia. project emphasizes safety."
win-20013,snc-lavalin,"university campus in chile, chile",transportation,latin america,chile,chile,232.42,2022-09-17,corporate,64,renewable energy,fixed-price,delayed,medium,"snc-lavalin secured a transportation medium-scale contract to build a school in chile, chile. project emphasizes community impact."
win-20014,larsen & toubro,"dam in mexico, mexico",utilities,north america,mexico,mexico,1242.07,2020-12-24,municipality,66,unknown,unit price,on hold,large,"larsen & toubro secured a utilities large-scale contract to build a wind farm in mexico, mexico. project emphasizes safety."
win-20015,cpb contractors,"shopping mall in victoria, australia",healthcare,australia,australia,victoria,656.05,2020-06-19,utility company,50,unknown,fixed-price,delayed,large,"cpb contractors secured a healthcare large-scale contract to build a metro system in victoria, australia. project emphasizes innovation."
win-20016,hochtief,"airport in italy, italy",utilities,europe,italy,italy,467.08,2024-05-09,state-owned enterprise,34,community engagement,lump sum,completed,medium,"hochtief secured a utilities medium-scale contract to build a high-rise building in italy, italy. project emphasizes safety."
win-20017,gilbane,"oil pipeline in british columbia, canada",education,north america,canada,british columbia,399.06,2021-12-12,international agency,79,carbon neutrality,fixed-price,on hold,medium,"gilbane secured a education medium-scale contract to build a solar plant in british columbia, canada. project emphasizes sustainability."
win-20018,aecom,"wind farm in chile, chile",utilities,latin america,chile,chile,107.79,2022-11-15,private developer,13,green building,fixed-price,on hold,medium,"aecom secured a utilities medium-scale contract to build a port in chile, chile. project emphasizes sustainability."
win-20019,bouygues,"refinery in new south wales, australia",healthcare,australia,australia,new south wales,6024.6849999999995,2025-02-19,corporate,41,community engagement,cost-plus,cancelled,mega,"bouygues secured a healthcare mega-scale contract to build a school in new south wales, australia. project emphasizes digitalization."
win-20020,saipem,"power plant in new south wales, australia",utilities,australia,australia,new south wales,802.11,2022-09-03,private developer,29,water conservation,lump sum,delayed,large,"saipem secured a utilities large-scale contract to build a power plant in new south wales, australia. project emphasizes safety."
win-20021,lendlease,"warehouse in singapore, singapore",healthcare,asia-pacific,singapore,singapore,79.86,2024-07-08,ngo,64,community engagement,fixed-price,on track,small,"lendlease secured a healthcare small-scale contract to build a dam in singapore, singapore. project emphasizes community impact."
win-20022,vinci,"stadium in beijing, china",commercial,asia-pacific,china,beijing,37.08,2023-10-28,international agency,17,green building,lump sum,completed,small,"vinci secured a commercial small-scale contract to build a railway in beijing, china. project emphasizes sustainability."
win-20023,obayashi corporation,"wind farm in colombia, colombia",industrial,latin america,colombia,colombia,99.25,2024-05-03,public-private partnership,62,carbon neutrality,fixed-price,on hold,small,"obayashi corporation secured a industrial small-scale contract to build a residential complex in colombia, colombia. project emphasizes sustainability."
win-20024,gilbane,"high-rise building in texas, usa",industrial,north america,usa,texas,3534.23,2023-05-10,corporate,10,green building,lump sum,cancelled,mega,"gilbane secured a industrial mega-scale contract to build a solar plant in texas, usa. project emphasizes community impact."
win-20025,fluor,"shopping mall in malaysia, malaysia",residential,asia-pacific,malaysia,malaysia,5304.47,2021-05-30,corporate,42,renewable energy,unit price,cancelled,mega,"fluor secured a residential mega-scale contract to build a oil pipeline in malaysia, malaysia. project emphasizes community impact."
win-20026,shimizu corporation,"oil pipeline in new south wales, australia",energy,australia,australia,new south wales,474.14,2022-08-16,state-owned enterprise,53,waste reduction,unit price,on track,medium,"shimizu corporation secured a energy medium-scale contract to build a bridge in new south wales, australia. project emphasizes community impact."
win-20027,mace group,"port in morocco, morocco",residential,africa,morocco,morocco,959.29,2020-11-12,government,55,water conservation,cost-plus,on track,large,"mace group secured a residential large-scale contract to build a refinery in morocco, morocco. project emphasizes safety."
win-20028,lendlease,"hospital in saudi arabia, saudi arabia",residential,middle east,saudi arabia,saudi arabia,280.92,2023-11-01,corporate,13,renewable energy,fixed-price,on track,medium,"lendlease secured a residential medium-scale contract to build a data center in saudi arabia, saudi arabia. project emphasizes sustainability."
win-20029,shimizu corporation,"port in mexico, mexico",utilities,north america,mexico,mexico,13.64,2023-07-06,government,22,waste reduction,unit price,completed,small,"shimizu corporation secured a utilities small-scale contract to build a school in mexico, mexico. project emphasizes safety."
win-20030,vinci,"wind farm in indonesia, indonesia",energy,asia-pacific,indonesia,indonesia,45.39,2025-03-04,corporate,6,waste reduction,unit price,on track,small,"vinci secured a energy small-scale contract to build a bridge in indonesia, indonesia. project emphasizes community impact."
win-20031,larsen & toubro,"stadium in florida, usa",industrial,north america,usa,florida,79.91,2023-01-11,private developer,82,waste reduction,time and materials,on track,small,"larsen & toubro secured a industrial small-scale contract to build a metro system in florida, usa. project emphasizes community impact."
win-20032,mortenson construction,"airport in italy, italy",education,europe,italy,italy,6024.6849999999995,2023-03-21,international agency,78,renewable energy,cost-plus,cancelled,mega,"mortenson construction secured a education mega-scale contract to build a school in italy, italy. project emphasizes digitalization."
win-20033,gilbane,"shopping mall in minas gerais, brazil",industrial,latin america,brazil,minas gerais,2077.51,2024-09-13,state-owned enterprise,35,renewable energy,time and materials,on track,mega,"gilbane secured a industrial mega-scale contract to build a water treatment plant in minas gerais, brazil. project emphasizes digitalization."
win-20034,kajima corporation,"shopping mall in mexico, mexico",utilities,north america,mexico,mexico,44.15,2020-12-27,private developer,22,community engagement,lump sum,completed,small,"kajima corporation secured a utilities small-scale contract to build a solar plant in mexico, mexico. project emphasizes digitalization."
win-20035,strabag,"university campus in venezuela, venezuela",residential,latin america,venezuela,venezuela,144.6,2020-10-13,public-private partnership,66,waste reduction,cost-plus,completed,medium,"strabag secured a residential medium-scale contract to build a data center in venezuela, venezuela. project emphasizes digitalization."
win-20036,hyundai e&c,"refinery in saudi arabia, saudi arabia",education,middle east,saudi arabia,saudi arabia,919.56,2022-02-19,ngo,27,green building,unit price,on track,large,"hyundai e&c secured a education large-scale contract to build a hospital in saudi arabia, saudi arabia. project emphasizes community impact."
win-20037,kajima corporation,"university campus in victoria, australia",utilities,australia,australia,victoria,526.96,2024-06-27,public-private partnership,31,renewable energy,lump sum,on hold,large,"kajima corporation secured a utilities large-scale contract to build a metro system in victoria, australia. project emphasizes sustainability."
win-20038,kajima corporation,"airport in italy, italy",industrial,europe,italy,italy,666.43,2022-10-27,international agency,65,water conservation,fixed-price,on track,large,"kajima corporation secured a industrial large-scale contract to build a metro system in italy, italy. project emphasizes digitalization."
win-20039,bam group,"school in italy, italy",residential,europe,italy,italy,318.72,2020-10-03,private developer,36,waste reduction,lump sum,completed,medium,"bam group secured a residential medium-scale contract to build a metro system in italy, italy. project emphasizes digitalization."
win-20040,mccarthy,"water treatment plant in qatar, qatar",commercial,middle east,qatar,qatar,3658.81,2023-03-23,government,40,unknown,time and materials,delayed,mega,"mccarthy secured a commercial mega-scale contract to build a stadium in qatar, qatar. project emphasizes community impact."
win-20041,vinci,"oil pipeline in florida, usa",transportation,north america,usa,florida,75.73,2024-07-27,state-owned enterprise,45,renewable energy,time and materials,completed,small,"vinci secured a transportation small-scale contract to build a water treatment plant in florida, usa. project emphasizes innovation."
win-20042,bouygues,"refinery in new south wales, australia",transportation,australia,australia,new south wales,207.67,2024-01-21,government,36,green building,cost-plus,delayed,medium,"bouygues secured a transportation medium-scale contract to build a school in new south wales, australia. project emphasizes community impact."
win-20043,turner construction,"high-rise building in minas gerais, brazil",residential,latin america,brazil,minas gerais,1544.67,2025-01-03,private developer,73,water conservation,lump sum,completed,large,"turner construction secured a residential large-scale contract to build a power plant in minas gerais, brazil. project emphasizes digitalization."
win-20044,clark construction,"hospital in mexico, mexico",education,north america,mexico,mexico,6024.6849999999995,2023-08-23,utility company,76,green building,cost-plus,on track,mega,"clark construction secured a education mega-scale contract to build a highway in mexico, mexico. project emphasizes community impact."
win-20045,hochtief,"water treatment plant in netherlands, netherlands",infrastructure,europe,netherlands,netherlands,441.37,2021-01-16,state-owned enterprise,72,green building,unit price,on track,medium,"hochtief secured a infrastructure medium-scale contract to build a shopping mall in netherlands, netherlands. project emphasizes safety."
win-20046,bechtel,"data center in rio de janeiro, brazil",healthcare,latin america,brazil,rio de janeiro,4419.88,2021-12-27,municipality,78,water conservation,unit price,completed,mega,"bechtel secured a healthcare mega-scale contract to build a stadium in rio de janeiro, brazil. project emphasizes innovation."
win-20047,kajima corporation,"dam in british columbia, canada",healthcare,north america,canada,british columbia,6024.6849999999995,2022-11-24,ngo,67,renewable energy,cost-plus,cancelled,mega,"kajima corporation secured a healthcare mega-scale contract to build a university campus in british columbia, canada. project emphasizes innovation."
win-20048,snc-lavalin,"hospital in queensland, australia",commercial,australia,australia,queensland,4621.28,2021-06-12,utility company,27,unknown,cost-plus,delayed,mega,"snc-lavalin secured a commercial mega-scale contract to build a dam in queensland, australia. project emphasizes community impact."
win-20049,mortenson construction,"hospital in morocco, morocco",infrastructure,africa,morocco,morocco,1172.22,2020-12-08,corporate,19,water conservation,cost-plus,delayed,large,"mortenson construction secured a infrastructure large-scale contract to build a hospital in morocco, morocco. project emphasizes sustainability."
