tender_id,project_name,sector,region,country,subregion,value_usd_m,bid_deadline,client,project_start_date,duration_months,esg_requirements,risk_factors,procurement_type,project_complexity,project_scale,description
tid-20000,"power plant in british columbia, canada",infrastructure,north america,canada,british columbia,893.89,2027-12-18,utility company,2030-05-27,58,waste reduction,regulatory changes,design-build,high,large,"open tender for a infrastructure large-scale project: school in british columbia, canada. requires smart city tech."
tid-20001,"stadium in algeria, algeria",healthcare,africa,algeria,algeria,1587.12,2026-09-01,private developer,2029-05-09,29,carbon neutrality,geopolitical risks,epc,low,mega,"open tender for a healthcare mega-scale project: high-rise building in algeria, algeria. requires smart city tech."
tid-20002,"school in netherlands, netherlands",utilities,europe,netherlands,netherlands,2422.57875,2028-04-29,government,2029-07-06,11,unknown,geopolitical risks,selective bid,low,mega,"open tender for a utilities mega-scale project: oil pipeline in netherlands, netherlands. requires advanced engineering."
tid-20003,"hospital in kuwait, kuwait",residential,middle east,kuwait,kuwait,827.92,2026-01-02,government,2027-10-31,17,green building,environmental concerns,open bid,high,large,"open tender for a residential large-scale project: oil pipeline in kuwait, kuwait. requires smart city tech."
tid-20004,"warehouse in alberta, canada",commercial,north america,canada,alberta,2422.57875,2026-07-15,ngo,2026-11-30,8,waste reduction,environmental concerns,negotiated contract,high,mega,"open tender for a commercial mega-scale project: water treatment plant in alberta, canada. requires smart city tech."
tid-20005,"warehouse in singapore, singapore",transportation,asia-pacific,singapore,singapore,13.19,2028-02-26,public-private partnership,2029-04-05,41,renewable energy,regulatory changes,open bid,low,small,"open tender for a transportation small-scale project: highway in singapore, singapore. requires bim integration."
tid-20006,"bridge in victoria, australia",transportation,australia,australia,victoria,2422.57875,2028-03-14,utility company,2029-10-20,12,carbon neutrality,geopolitical risks,selective bid,low,mega,"open tender for a transportation mega-scale project: port in victoria, australia. requires bim integration."
tid-20007,"dam in indonesia, indonesia",commercial,asia-pacific,indonesia,indonesia,46.17,2026-05-29,government,2027-11-20,94,unknown,geopolitical risks,selective bid,low,small,"open tender for a commercial small-scale project: oil pipeline in indonesia, indonesia. requires advanced engineering."
tid-20008,"residential complex in western australia, australia",commercial,asia-pacific,australia,western australia,1605.03,2026-06-30,public-private partnership,2026-03-04,83,water conservation,labor shortages,negotiated contract,medium,mega,"open tender for a commercial mega-scale project: smart city in western australia, australia. requires advanced engineering."
tid-20009,"dam in egypt, egypt",utilities,africa,egypt,egypt,2422.57875,2026-05-05,municipality,2026-07-19,32,waste reduction,environmental concerns,negotiated contract,low,mega,"open tender for a utilities mega-scale project: school in egypt, egypt. requires smart city tech."
tid-20010,"railway in shanghai, china",transportation,asia-pacific,china,shanghai,211.92,2025-12-13,utility company,2028-12-03,65,waste reduction,unknown,open bid,high,large,"open tender for a transportation large-scale project: high-rise building in shanghai, china. requires local labor."
tid-20011,"wind farm in france, france",transportation,europe,france,france,645.51,2027-11-10,state-owned enterprise,2029-12-09,38,waste reduction,supply chain delays,open bid,medium,large,"open tender for a transportation large-scale project: oil pipeline in france, france. requires sustainable materials."
tid-20012,"refinery in new south wales, australia",residential,australia,australia,new south wales,1374.25,2027-06-24,private developer,2028-03-29,87,green building,regulatory changes,epc,medium,mega,"open tender for a residential mega-scale project: port in new south wales, australia. requires smart city tech."
